latitude,longitude,name,color
33.9690475529,-81.0382102747,,#FFF00
33.9688357955,-81.0380400204,,#FFF00
33.9685534522,-81.037784639,,#FFF00
33.9683416948,-81.0376143846,,#FFF00
33.967529958,-81.0371461853,,#FFF00
33.967529958,-81.0371887488,,#FFF00
33.9672476147,-81.0371036217,,#FFF00
33.9667182212,-81.0370610581,,#FFF00
33.9665064637,-81.0370184945,,#FFF00
33.966400585,-81.0370184945,,#FFF00
33.9662241205,-81.0368908038,,#FFF00
33.9661535347,-81.0368482402,,#FFF00
33.9659417772,-81.0367631131,,#FFF00
33.9658358985,-81.0367205495,,#FFF00
33.9656241411,-81.0366354223,,#FFF00
33.9654123836,-81.0365077316,,#FFF00
33.9652006262,-81.036465168,,#FFF00
33.9651653333,-81.0365502952,,#FFF00
33.9653770907,-81.0365928587,,#FFF00
33.9655888482,-81.0367205495,,#FFF00
33.9658006056,-81.0368056766,,#FFF00
33.9659064843,-81.0368482402,,#FFF00
33.9661182418,-81.0369333674,,#FFF00
33.9662241205,-81.0369759309,,#FFF00
33.966400585,-81.0371036217,,#FFF00
33.9664711708,-81.0371036217,,#FFF00
33.9667182212,-81.0371461853,,#FFF00
33.9672123218,-81.0371887488,,#FFF00
33.967529958,-81.0373164396,,#FFF00
33.967529958,-81.0374015667,,#FFF00
33.9682358161,-81.0378272025,,#FFF00
33.9684475735,-81.0379974568,,#FFF00
33.9687299168,-81.0382102747,,#FFF00
33.9689416742,-81.0383805291,,#FFF00
33.9691887245,-81.0386359105,,#FFF00
33.9694357749,-81.0388061649,,#FFF00
33.9696475323,-81.0390189827,,#FFF00
33.9698239968,-81.0392318006,,#FFF00
33.9699298755,-81.0393169278,,#FFF00
33.9701063401,-81.0394871821,,#FFF00
33.9701063401,-81.0395297457,,#FFF00
33.9701769259,-81.0396574364,,#FFF00
33.9703533904,-81.0397851272,,#FFF00
33.9704239762,-81.0398702543,,#FFF00
33.9706357337,-81.0400405086,,#FFF00
33.9707416124,-81.0401256358,,#FFF00
33.9709180769,-81.0402958901,,#FFF00
33.9709886627,-81.0403810173,,#FFF00
33.9709533698,-81.0404235809,,#FFF00
33.9711651272,-81.0405938352,,#FFF00
33.9712357131,-81.0407215259,,#FFF00
33.9714474705,-81.0408492166,,#FFF00
33.9715533492,-81.0409769074,,#FFF00
33.9717298137,-81.0411897253,,#FFF00
33.9717651066,-81.0412748524,,#FFF00
33.9717298137,-81.041317416,,#FFF00
33.9719062783,-81.0414025432,,#FFF00
33.9719415712,-81.0414451068,,#FFF00
33.9721180357,-81.0415727975,,#FFF00
33.9722592073,-81.0417430518,,#FFF00
33.9724356718,-81.0419558697,,#FFF00
33.9726121364,-81.042126124,,#FFF00
33.9728591867,-81.0422963783,,#FFF00
33.9728591867,-81.0422963783,,#FFF00
33.9731768229,-81.0425091962,,#FFF00
33.9734238732,-81.0427220141,,#FFF00
33.9737415093,-81.0430199592,,#FFF00
33.9739532668,-81.0431902135,,#FFF00
33.9739179739,-81.0432327771,,#FFF00
33.9736709235,-81.0430625228,,#FFF00
33.9733885803,-81.0428071413,,#FFF00
33.9731415299,-81.0425943234,,#FFF00
33.9728238938,-81.0423389419,,#FFF00
33.9728238938,-81.0423815055,,#FFF00
